<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.10	12:00:00	61024.98	61244.33	60952.17	61156.14	3423	0	1000
2026.06.10	12:30:00	61164.99	61944.88	61134.49	61553.28	6676	0	1000
2026.06.10	13:00:00	61553.40	61622.80	61430.26	61557.37	2985	0	1000
2026.06.10	13:30:00	61556.17	62455.07	61497.02	62150.52	7973	0	1000
2026.06.10	14:00:00	62138.14	62256.49	61854.33	62043.30	5178	0	1000
2026.06.10	14:30:00	62038.92	62201.91	61805.63	62198.36	5074	0	1000
2026.06.10	15:00:00	62198.33	62428.09	61842.30	62254.10	5284	0	1000
2026.06.10	15:30:00	62252.68	62860.61	62127.94	62633.16	6499	0	1000
2026.06.10	16:00:00	62633.18	62649.94	62104.08	62283.77	4289	0	1000
2026.06.10	16:30:00	62284.33	62415.37	61918.55	62224.78	4576	0	1000
2026.06.10	17:00:00	62224.78	62362.52	61884.96	61907.40	4064	0	1000
2026.06.10	17:30:00	61910.53	62047.10	61643.64	61976.76	4630	0	1000
2026.06.10	18:00:00	61977.27	62160.70	61839.02	62023.28	3627	0	1000
2026.06.10	18:30:00	62023.26	62023.26	61586.22	61887.55	3490	0	1000
2026.06.10	19:00:00	61889.24	61940.13	61669.77	61785.31	3263	0	1000
2026.06.10	19:30:00	61784.68	62066.81	61781.49	61941.80	3611	0	1000
2026.06.10	20:00:00	61935.21	61952.01	61674.21	61909.25	3081	0	1000
2026.06.10	20:30:00	61909.25	61928.33	61699.25	61796.08	2436	0	1000
2026.06.10	21:00:00	61796.11	61803.48	61496.86	61571.45	2630	0	1000
2026.06.10	21:30:00	61571.38	61724.71	61174.85	61355.15	2965	0	1000
2026.06.10	22:00:00	61355.14	61363.99	61091.64	61245.04	3614	0	1000
2026.06.10	22:30:00	61244.07	61575.94	61235.00	61380.88	3252	0	1000
2026.06.10	23:00:00	61372.74	61577.49	61156.88	61545.60	3165	0	1000
2026.06.10	23:30:00	61545.59	61605.37	61460.67	61502.80	2349	0	1000
2026.06.11	00:00:00	61502.80	61979.49	61502.80	61885.30	3349	0	1000
